mark_version,target,aihub_category,n,mean_prob_target,sd
mark4.3,construction,A.층간소음_3.생활소음_a.화장실물내리는소리,5,0.107067,0.009023
mark4.3,construction,C.사업장_1.상가건물_a.옥외설치확성기의소음,5,0.10569,0.002273
mark4.3,construction,A.층간소음_4.악기_b.피아노연주소리,9,0.105495,0.015556
mark4.3,construction,A.층간소음_4.악기_a.바이올린연주소리,7,0.103193,0.002884
mark4.3,construction,A.층간소음_3.생활소음_b.샤워할때물소리,10,0.10318,0.024855
mark4.3,construction,A.층간소음_1.중량충격음_b.아이들발걸음소리,9,0.097813,0.003063
mark4.5,media_talking,A.층간소음_3.생활소음_f.식기세척기소리,6,0.116908,0.019464
mark4.5,media_talking,A.층간소음_2.경량충격음_b.문여닫는소리,6,0.115815,0.017465
mark4.5,media_talking,D.교통소음_3.이륜차_a.심야에이륜차가빠르게주행하는소리,5,0.112728,0.008648
mark4.5,media_talking,C.사업장_1.상가건물_b.에어컨실외기의가동소리,6,0.111329,0.005343
mark4.5,media_talking,B.공사장_1.건설장비_e.공기압축기의공기압축소리,6,0.110932,0.001378
mark4.5,media_talking,A.층간소음_5.애완동물_a.강아지짓는소리,6,0.110923,0.00248
mark4.5,media_talking,B.공사장_2.차량_a.덤프트럭의엔진소리,6,0.110278,0.002056
mark4.5,media_talking,B.공사장_2.차량_b.불도저의엔진소리,6,0.110094,0.001477
mark4.5,media_talking,A.층간소음_1.중량충격음_c.망치질소리,5,0.109853,0.000699
mark4.5,media_talking,C.사업장_3.골프연습장_a.골프연습장의타구음,6,0.109837,0.000949
mark4.5,media_talking,A.층간소음_2.경량충격음_d.골프퍼팅(골굴리는소리),6,0.109101,0.000836
mark4.5,media_talking,B.공사장_2.차량_c.페이로다의굴착소리,6,0.108724,0.002337
mark4.5,media_talking,A.층간소음_3.생활소음_c.드럼세탁기소리,6,0.108632,0.003161
mark4.5,media_talking,A.층간소음_1.중량충격음_a.어른발걸음소리,6,0.108619,0.000694
mark4.5,media_talking,A.층간소음_5.애완동물_b.고양이우는소리,6,0.10853,0.004575
mark4.5,media_talking,A.층간소음_1.중량충격음_b.아이들발걸음소리,6,0.108478,0.001387
mark4.5,media_talking,A.층간소음_3.생활소음_d.통돌이세탁기소리,6,0.108475,0.001433
mark4.5,media_talking,B.공사장_1.건설장비_d.굴착기의땅파는소리,5,0.108153,0.001222
mark4.5,media_talking,A.층간소음_3.생활소음_b.샤워할때물소리,5,0.108077,0.002417
mark4.5,media_talking,A.층간소음_2.경량충격음_c.런닝머신에서뛰는소리,6,0.108004,0.001013
mark4.5,media_talking,A.층간소음_3.생활소음_e.진공청소기소리,6,0.107931,0.002986
mark4.5,media_talking,D.교통소음_2.트럭_a.심야에배송트럭이빠르게주행하는소리,6,0.107857,0.001635
mark4.5,media_talking,B.공사장_1.건설장비_f.브레이커의암석파쇄소리,6,0.107764,0.0013
mark4.5,media_talking,A.층간소음_2.경량충격음_a.가구끄는소리,6,0.107748,0.001791
mark4.5,media_talking,B.공사장_2.차량_e.레미콘의콘크리트섞는소리,6,0.107557,0.001091
mark4.5,media_talking,D.교통소음_4.기타_a.심야에울리는횡단보도신호기소리,6,0.107398,0.000887
mark4.5,media_talking,A.층간소음_4.악기_b.피아노연주소리,6,0.10712,0.001499
mark4.5,media_talking,A.층간소음_3.생활소음_a.화장실물내리는소리,5,0.10697,0.003257
mark4.5,media_talking,D.교통소음_1.자동차_a.심야에자동차가빠르게주행하는소리,5,0.106957,0.00062
mark4.5,media_talking,B.공사장_1.건설장비_c.착암기의발파구멍뚫는소리,6,0.106717,0.00269
mark4.5,media_talking,C.사업장_2.학원시설_b.학원소리(예체능),6,0.106436,0.00158
mark4.5,media_talking,B.공사장_1.건설장비_a.항타기의파일박는소리,6,0.106335,0.001123
mark4.5,media_talking,B.공사장_1.건설장비_g.발전기의가동소리,5,0.10624,0.000897
mark4.5,media_talking,B.공사장_1.건설장비_b.항발기의파일뽑는소리,6,0.105929,0.000464
mark4.5,media_talking,C.사업장_2.학원시설_a.등하원아이들떠드는소리,6,0.105527,0.001408
mark4.5,media_talking,B.공사장_2.차량_d.백호우의굴착소리,6,0.104158,0.002031
mark4.5,media_talking,A.층간소음_4.악기_a.바이올린연주소리,6,0.103661,0.002247
